name,ascii_str,ascii_str_get,getter,getter_type,setter,setter_type,setter_range ,doc,subsystem,is_config,setter_inputs,getter_inputs
freq,FREQ,,TRUE,float,TRUE,float,"[100, 300000]",reference frequency. Set only in Internal reference mode,frequency,TRUE,,
reset,*RST,,FALSE,none,TRUE,none,None,Reset the unit to its default configurations,interface,FALSE,,
id,*IDN,,TRUE,str,FALSE,none,None,Read the SR810 device identification string.,interface,FALSE,,
local_remote,LOCL,,TRUE,int,TRUE,int,"[0,2]",Set (Query) the Local/Remote state to LOCAL (0); REMOTE (1); or LOCAL LOCKOUT (2).,interface,FALSE,,
clear_status,*CLS,,FALSE,none,TRUE,none,None,Clear all status bytes.,status,FALSE,,
event_status_enable,*ESE,,TRUE,int,TRUE,int,"[0,255]",Set (Query) the Standard Event Status Byte Enable Register to the decimal value i (0-255). *ESE I j sets bit i (0-7) to j (0 or 1). *ESE? decimal value i (0-255). *ESE I queries the byte. *ESE?i queries only bit i.,status,FALSE,,
event_status,*ESR,,TRUE,int,FALSE,none,None,"Query the Standard Event Status Byte. If i is included, only bit i is queried.",status,FALSE,,
serial_poll_enable,*SRE,,TRUE,int,TRUE,int,"[0,255]","Set (Query) the Serial Poll Enable Register to the decimal value i (0-255). *SRE I j sets bit i (0-7) to j (0 or 1). *SRE? queries the byte *SRE?i queries only bit i.""",status,FALSE,,
serial_poll,*STB,,TRUE,int,FALSE,none,None,"Query the Serial Poll Status Byte. If i is included, only bit i is queried.",status,FALSE,,
power_on_status,*PSC,,TRUE,int,TRUE,int,"[0,1]",Set (Query) the Power On Status Clear bit to Set (1) or Clear (0).,status,FALSE,,
error_status_enable,ERRE,,TRUE,int,TRUE,int,"[0,255]","Set (Query) the Error Status Enable Register to the decimal value I (0-255). ERRE i,j sets bit i (0-7) to j (0 or 1). ERRE? queries the byte, ERRE?i queries only bit i.",status,FALSE,,
error_status,ERRS,,TRUE,int,FALSE,none,None,"Query the Error Status Byte. If i is included, only bit i is queried.",status,FALSE,,
lia_status_enable,LIAE,,TRUE,int,TRUE,int,"[0,255]","Set (Query) the LIA Status Enable Register to the decimal value i (0-255). LIAE i,j sets bit i (0-7) to j (0 or 1). LIAE? queries the byte, LIAE? i queries only bit i.",status,FALSE,,
lia_status,LIAS,,TRUE,int,FALSE,none,None,"Query the LIA Status Byte. If i is included, only bit i is queried.",status,TRUE,,
comm_error,*ESR,,TRUE,bit2_set,FALSE,none,None,get communication error; for self testing ,,TRUE,,
