name,ascii_str,ascii_str_get,getter,getter_type,setter,setter_type,setter_range ,doc,subsystem,is_config,setter_inputs,getter_inputs
phase,PHAS ,,TRUE,float,TRUE,float,"[-360.0, 729.99]",Phase shift in degrees,ref_phase,TRUE,,
fmode,FMOD,,TRUE,int,TRUE,int,"[0,1]",reference frequency source: internal = 1; external = 0,ref_phase,TRUE,,
freq,FREQ,,TRUE,float,TRUE,float,"[0.001, 102000]",reference frequency. Set only in Internal reference mode,ref_phase,TRUE,,
ref_slope,RSLP,,TRUE,int,TRUE,int,"[0,1,2]","External reference slope Sine(0), TTL Rising (1) TTL Falling (2)",ref_phase,TRUE,,
harm,HARM,,TRUE,int,TRUE,int ,"[1,19999]",Detection harmonic,ref_phase,TRUE,,
slvl,SLVL,,TRUE,float,TRUE,float,"[0.004, 5.0]",Sine Output Amplitude,ref_phase,TRUE,,
in_config,ISRC,,TRUE,int,TRUE,int,"[0, 3]","Input configuration. A(0), A-B(1), I (2) (1 Mohm), I (3) (100 Mohm)",input_filter,TRUE,,
in_gnd,IGND,,TRUE,int,TRUE,int,"[0,1]",Input shield grounding float(0) ground(1),input_filter,TRUE,,
in_couple,ICPL,,TRUE,int,TRUE,int,"[0,1]",input coupling AC(0) DC(1),input_filter,TRUE,,
line_filter,ILIN,,TRUE,int,TRUE,int,"[0,1,2,3]","Line notch filters Out(0), Line In (1), 2x Line in(2), Both In (3)",input_filter,TRUE,,
sensitivity,SENS,,TRUE,int,TRUE,int,"[0,26]",Sensitivity to 2 nV (0) through 1 V (26) rms full scale,gain_tau,TRUE,,
res_mode,RMOD,,TRUE,int,TRUE,int,"[0,1,2]","Dynamic Reserve Mode to HighReserve (0), Normal (1), or Low Noise (2)",gain_tau,TRUE,,
tau,OFLT,,TRUE,int,TRUE,int,"[0,13]",Time Constant to 10 µs (0) through 30 ks (19),gain_tau,TRUE,,
filt_slope,OFSL,,TRUE,int,TRUE,int,"[0, 3]","Low Pass Filter Slope to 6 (0), 12 (1), 18 (2) or 24 (3) dB/oct",gain_tau,TRUE,,
sync_filt,SYNC,,TRUE,int,TRUE,int,"[0,1]",Synchronous Filter to Off (0) or On below 200 Hz (1),gain_tau,TRUE,,
ch1_disp,"DDEF {value}, {ratio}",DDEF?,TRUE,byte_array_to_numarray,TRUE,int,"[0, 4]","CH1 display to X, R, Xn, Aux 1or Aux 2 (j=0..4) and ratio the display to None, Aux1or Aux 2 (k=0,1,2).",disp_out,TRUE,2,
ch1_out_select,FPOP,,TRUE,int,TRUE,int,"[0,1]",CH1Output Source to X (j=1) or Display (j=0),disp_out,TRUE,,
off_exp,"OEXP {value}, {offset}, {expand}",OEXP? {chan},TRUE,byte_array_to_numarray,TRUE,int,"[1,2,3]","X, Y, R (i=1,2,3) Offset to x percent ( -105.00 ≤ x ≤ 105.00) and Expand to 1, 10 or 100 (j=0,1,2)",disp_out,TRUE,3,1
